URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/wch/egr/d/elmsford-construction-project-manager/6910567466.html,Construction Project Manager, (Westchester),"The ideal candidate will have a proven track record in the following:
•	5-10 years experience as a Project Manager working in Commercial & Residential construction.
•	Managing multiple projects concurrently from start to finish, including estimating and pre-construction.
•	Coordinating with the Superintendent and subcontractors to develop the project schedule.
•	Reviewing drawings, plans and specifications to create scopes of work and execute contracts.
•	Reviewing submittals including shop drawings.
•	Review and process subcontractor submittals for adherence to the specifications.
•	Managing of project document logs to include RFI's, Transmittals, and Submittals.
•	Managing the Owner and Architect including OAC meetings and creating of minutes.
•	Tracking all permits to ensure project schedule is not impacted.
•	Managing project close out, O&M’s, warranties, lien releases, punch list items, extra products 
        and key control.
•	Manage all sides of the project financially including contracts, projections, billings etc.
•	Must have experience using Microsoft Outlook, Excel and Word.
•	Must have OSHA 10/30.
•	Must be a great communicator with customers, subs, suppliers and headquarters.
•	Excellent at successfully resolving job site and direct report conflicts.
•	Must be flexible and able to work in loud busy environments.
•	Must be positive person with upbeat attitude at all times.
•	Must be punctual, dependable and efficient.
•	Must come from a place of yes.
•	Must be a problem solver and able to take initiative.
•	Strong organizational skills, detail oriented, ability to multi-task & remain effective in high paced   
        environment.
•	Must have excellent English communication skills, both orally and written.
•	Must be a US resident.",TBD,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-cost-estimator-assistant/6910296748.html,Cost Estimator/ Assistant Project Manager, (Midtown),"Position Type:
Internship (Includes Part-Time & Full-Time Internships)

Description:
Willing to train/have the ability of the following: 

-Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.

-Interpret plans and construction materials to propose and double-check estimates.

-Identify and resolve deviations from the proposal, including scope and specifications.

-Help with pricing schedules, participate in proposal preparation, and perform technical assessments to facilitate analysis functions.

-Assist the Project Manager in all phases and aspects of the project.

-Provide support to Field Staff.

-Communicate with site superintendents about delays and any other issues that must be communicated to clients.

-Must have strong organizational skills, have excellent problem-solving abilities, and pay strong attention to detail.

-Should be able to work effectively with other estimators, but also perform well on their own with minimal supervision.

-Must follow project specifications and any relevant confidentiality rules.

-Have proficiency in Excel, Microsoft, and Adobe Acrobat Reader


Location
New York, New York United States


Desired Major(s):
Engineering/Civil Engineering, Engineering/ Construction Management

Job Function:
Construction & Trades

Compensation:
Paid

****************Please submit resume for review**************************",18 per hour,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-lay-out-person-needed-in-iron/6910340320.html,lay-out person needed in Iron Shop," (Brooklyn,N.Y)","Lay -out person is needed in  Iron shop to mark beams and other miscellaneous steel items needed for constructions, some experience is necessary.","vacations, all legal holidays..etc",full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-associate-cad/6909697998.html,Architectural Associate/CAD drafter, (Brooklyn),"LOOKING TO HIRE EXPERIENCED ARCHITECT/ DRAFTER MUST KNOW AND BE ABLE TO DO NYC ZONING CALCULATIONS, CODES REVIEW AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must have or be able to secure a DOB Expediters License.
- Must be able to manage multiple projects EMAIL YOUR RESUME.",Negotiable,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-drafting-position-ssp-tpp/6909622285.html,Drafting Position - SSP/TPP/OPP's - Experienced with AutoCad, (Midtown West),"We are a construction consulting firm with a Full Time position open for an AutoCad Drafter and Code Consultant.

We are willing to teach the ropes to the right candidate but candidate must be proficient in AutoCad and have a good grasp of the English language.
 
The candidate selected will be working with staff to measure job sites and prepare:
 
•         Existing conditions site plans;
•         Staging and logistics plans for presentation to the NYC Department of Transportation.
•         Site Safety Plans for work required to comply with Chapter 33 of the NYC Building Code.
•         Occupant Protection Plans for submission to the NYC Department of Buildings.
•         Tenant Protection Plans for submission to the NYC Department of Buildings.
•         Construction equipment plans.  
•         Temporary Place of Assembly Plans.  
 
Candidate will be working from our office near Penn Station, Manhattan and will use the latest version of AutoCad.
 
 
Please reply with resume, sample drawings, and salary requirement.


KEY WORDS: SITE SAFETY, OCCUPANT PROTECTION PLANS, TENANT PROTECTION PLANS, AUTOCAD, DRAFTING, EXPEDITING, CONSTRUCTION, PLAN DRAFTING, DOB, DOT, FDNY","Salary, Major Medical, Dental Stipend, paid sick leave, incentives, etc.",part-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-expeditor-project/6909866573.html,NYC DOB Expeditor Project Manager Filing Representative, (Downtown),"NYC DOB Class 1 or 2 Full time or nothing if you can prepare applications.

We service only Manhattan and Brooklyn applications. 

Salary based upon experience. MUST know DOB BIS, NOW and HUB online filings and how jobs are structured and filed. Must know the processes,,,

Must know document preparation, must be familiar with filing necessary agency forms. PW1, PW2, SCH B, SCH A, etc. From owners info to permit you need to know the process.

Candidate must be competent to understand filing processes and be able to accomplish things on their own. 

Search words DOB, DOT, ECB, HPD FDNY , PERMITS, EXPEDITING, MANAGER,  EXPEDITOR, FILING, VIOLATION, DEPARTMENT OF BUILDINGS, CLASS 1 , CLASS 2  

Salary $40,00 to $70,000, 10 paid days per year + National holidays.

If you don't know what your doing don't apply. You will be tested during your interview.",Based upon experience and knowledge,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-architect/6909590011.html,Intermediate Architect | Residential Interiors, (Midtown East),"Project Management/Leadership Role

Responsibilities also include hands on construction document production using AutoCAD or Revit.
Manage Team.
Manage Projects.
Professional Growth!

High Profile New York City substantial multi-family residential architectural interiors projects.

Candidate must have New York City multi-family residential project experience.
New York City DOB approvals and code and zoning experience is required.
A professional degree in Architecture from an accredited university is a pre-requisite.

Please submit a PDF attachment with your resume, work samples, availability plus base salary requirement in consideration for an immediate interview.

Thank you!",75-85K base salary plus benefits package.,full-time
https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for-immediate-hire/6909094414.html,Autocad person wanted for immediate hire!!!, (College point),"Zusto Architectural metal and glass company in Queens is seeking a full time auto cad designer and estimator for immediate start.

Must have experience in producing shop drawings for fabrication of all types of architectural projects. Some estimating, experience, ability to purchase materials off shop drawings and some office management of projects in progress.

Please only respond if you have experience in these areas!!!!!!!

This is a full time position Monday through Friday 
Serious inquiries only!!!

Salary to be determined upon experience 

Call Robert 917-417-5998",Tbd,full-time
https://newyork.craigslist.org/que/egr/d/oakland-gardens-construction/6909322943.html,Construction Superintendent Needed, (FRESH MEADOWS),"One residential alternation 1 job needs a construction superintendent. 
Add a level to existing single family house. 
8-12 months project.

Need a licensed NYC Construction Superintendent for permit. 
$1,000/month until job is done.","$1,000/month.",part-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-restoration-project-manager/6909010005.html,Restoration Project Manager,,"Brooklyn based Restroration Building company seeking a Project Manager with 5-10 years of experience in managing landmark preservation construction projects through all phases including scope of work and budget development, scheduling, condition assessment and reporting, construction document review (drawings and specifications), and construction administration.

The Project Manager will be responsible for the assessment and restoration of masonry, steel, and reinforced concrete structures; façade & roofing repairs and replacement; LPC submission, inspections and reporting.

The construction team works with the leading architects and engineers in building restoration to execute complex and difficult projects. They provide innovative restoration, preservation and building solutions to the owner, building manager, preservationist, architect or engineer in every phase of planning, production and project management.

Great office culture. Exceptional benefits. Perfect time to join a growing firm with a stellar reputation.",$100-125k,full-time
