RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
9.3,The Shawshank Redemption ,9.3,"14 October 1994 (USA)
",Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Tim Robbins,Morgan Freeman,Bob Gunton",2h 22min,"
            $25,000,000
            
        "
8.4,3 Idiots ,8.4,Drama,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Aamir Khan,Madhavan,Mona Singh",2h 50min,"
             $1,645,502,
, 
        "
8.3,Eternal Sunshine of the Spotless Mind ,8.3,Romance,Drama,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Jim Carrey,Kate Winslet,Tom Wilkinson",1h 48min,"
            $20,000,000
            
        "
8.3,Toy Story ,8.3,Adventure,Animation,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Tom Hanks,Tim Allen,Don Rickles",1h 21min,"
            $30,000,000
            
        "
8.3,A Clockwork Orange ,8.3,Drama,Crime,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Malcolm McDowell,Patrick Magee,Michael Bates",2h 16min,"
             £618,615
            (United Kingdom),
, 
        "
8.5,Dangal ,8.5,Biography,Action,Former wrestler,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",2h 41min,"
            INR 700,000,000
            
        "
8.4,Like Stars on Earth ,8.4,Family,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Darsheel Safary,Aamir Khan,Tisca Chopra",2h 45min,"
             $352,568,
, 
        "
8.3,Requiem for a Dream ,8.3,"15 December 2000 (USA)
",Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Ellen Burstyn,Jared Leto,Jennifer Connelly",1h 42min,"
             $64,770,
, 
        "
8.3,Singin' in the Rain ,8.3,Musical,Comedy,A silent film production company and cast make a difficult transition to sound.,"Gene Kelly,Donald O'Connor,Debbie Reynolds",1h 43min,"
 $8,819,028
        "
8.3,Reservoir Dogs ,8.3,Drama,Crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel,Tim Roth,Michael Madsen",1h 39min,"
            $1,200,000
            
        "
8.3,Star Wars: Episode VI - Return of the Jedi ,8.3,Adventure,Action,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Mark Hamill,Harrison Ford,Carrie Fisher",2h 11min,"
            $32,500,000
            
        "
8.3,Amadeus ,8.3,Drama,Biography,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",2h 40min,"
            $18,000,000
            
        "
8.4,Your Name. ,8.4,Drama,Animation,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",1h 46min,"
             $1,637,509,
, 
        "
8.3,M ,8.3,Mystery,Crime,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre,Ellen Widmann,Inge Landgut",1h 39min,"
 $35,566, 
        "
8.1,Three Colors: Red ,8.1,Mystery,Drama,A model discovers her neighbor is keen on invading people's privacy.,"Irène Jacob,Jean-Louis Trintignant,Frédérique Feder",1h 39min,"
    
,,      
    "
8.2,Gangs of Wasseypur ,8.2,Comedy,Action,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui",5h 21min,"
            INR 184,000,000
            
        "
8.1,Lagaan: Once Upon a Time in India ,8.1,Drama,Adventure,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Aamir Khan,Raghuvir Yadav,Gracy Singh",3h 44min,"
            $6,000,000
            
        "
8.0,The Exorcist ,8.0,"26 December 1973 (USA)
",Horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.","Ellen Burstyn,Max von Sydow,Linda Blair",2h 2min,"
    
,      
    "
8.1,Akira ,8.1,Drama,Animation,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama",2h 4min,"
 $553,171
        "
8.3,2001: A Space Odyssey ,8.3,Sci-Fi,Adventure,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Keir Dullea,Gary Lockwood,William Sylvester",2h 29min,"
            $12,000,000
            
        "
8.1,"Paris, Texas ",8.1,"23 August 1984 (UK)
",Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",2h 25min,"
             $22,709,
, 
        "
8.0,Beauty and the Beast ,8.0,Family,Animation,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Paige O'Hara,Robby Benson,Jesse Corti",1h 24min,"
            $25,000,000
            
        "
8.0,Pirates of the Caribbean: The Curse of the Black Pearl ,8.0,Adventure,Action,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Johnny Depp,Geoffrey Rush,Orlando Bloom",2h 23min,"
            $140,000,000
            
        "
8.1,Before Sunset ,8.1,Romance,Drama,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Ethan Hawke,Julie Delpy,Vernon Dobtcheff",1h 20min,"
            $2,700,000
            
        "
8.3,Drishyam ,8.3,Drama,Crime,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Ajay Devgn,Shriya Saran,Tabu",2h 43min,"
             $277,041,

        "
8.1,Castle in the Sky ,8.1,Adventure,Animation,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Anna Paquin,James Van Der Beek,Cloris Leachman",2h 5min,"
      
        
    "
8.0,The Wizard of Oz ,8.0,Family,Adventure,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"Judy Garland,Frank Morgan,Ray Bolger",1h 42min,"
            $2,800,000
            
        "
8.0,Jaws ,8.0,Drama,Adventure,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Roy Scheider,Robert Shaw,Richard Dreyfuss",2h 4min,"
            $8,000,000
            
        "
8.0,Groundhog Day ,8.0,Fantasy,Comedy,A weatherman finds himself inexplicably living the same day over and over again.,"Bill Murray,Andie MacDowell,Chris Elliott",1h 41min,"
             $14,652,108,
, 
        "
8.1,The Help ,8.1,"10 August 2011 (USA)
",Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Emma Stone,Viola Davis,Octavia Spencer",2h 26min,"
            $25,000,000
            
        "
8.2,Raise the Red Lantern ,8.2,History,Drama,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.","Li Gong,Jingwu Ma,Saifei He",2h 5min,"
    
,,      
    "
8.1,In the Mood for Love ,8.1,Romance,Drama,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",1h 38min,"
             $113,280,
, 
        "
