,Player,Number,Position,Height
0,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
1,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
2,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
3,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
4,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
5,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
6,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
7,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
8,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
9,AlexLen,25,Center,7 ft 1 in | 250 lbs
10,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
11,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
12,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
13,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
14,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
15,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
16,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
17,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
18,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
19,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
20,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
21,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
22,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
23,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
24,AlexLen,25,Center,7 ft 1 in | 250 lbs
25,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
26,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
27,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
28,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
29,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
30,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
31,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
32,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
33,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
34,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
35,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
36,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
37,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
38,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
39,AlexLen,25,Center,7 ft 1 in | 250 lbs
40,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
41,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
42,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
43,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
44,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
45,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
46,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
47,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
48,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
49,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
50,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
51,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
52,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
53,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
54,AlexLen,25,Center,7 ft 1 in | 250 lbs
